""
Section,Sources,geography,state
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Hawaii_Tracts_Block_Groups_Only.zip,s,HI
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Hawaii_All_Geographies_Not_Tracts_Block_Groups.zip,l,HI
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Vermont_Tracts_Block_Groups_Only.zip,s,VT
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Vermont_All_Geographies_Not_Tracts_Block_Groups.zip,l,VT
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//NorthDakota_Tracts_Block_Groups_Only.zip,s,ND
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//NorthDakota_All_Geographies_Not_Tracts_Block_Groups.zip,l,ND
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Nevada_Tracts_Block_Groups_Only.zip,s,NV
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Nevada_All_Geographies_Not_Tracts_Block_Groups.zip,l,NV
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Washington_Tracts_Block_Groups_Only.zip,s,WA
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Washington_All_Geographies_Not_Tracts_Block_Groups.zip,l,WA
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Delaware_Tracts_Block_Groups_Only.zip,s,DE
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Delaware_All_Geographies_Not_Tracts_Block_Groups.zip,l,DE
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Texas_Tracts_Block_Groups_Only.zip,s,TX
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Texas_All_Geographies_Not_Tracts_Block_Groups.zip,l,TX
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Alaska_Tracts_Block_Groups_Only.zip,s,AK
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Alaska_All_Geographies_Not_Tracts_Block_Groups.zip,l,AK
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Nebraska_Tracts_Block_Groups_Only.zip,s,NE
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Nebraska_All_Geographies_Not_Tracts_Block_Groups.zip,l,NE
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Maine_Tracts_Block_Groups_Only.zip,s,ME
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Maine_All_Geographies_Not_Tracts_Block_Groups.zip,l,ME
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Oklahoma_Tracts_Block_Groups_Only.zip,s,OK
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Oklahoma_All_Geographies_Not_Tracts_Block_Groups.zip,l,OK
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Maryland_Tracts_Block_Groups_Only.zip,s,MD
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Maryland_All_Geographies_Not_Tracts_Block_Groups.zip,l,MD
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//California_Tracts_Block_Groups_Only.zip,s,CA
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//California_All_Geographies_Not_Tracts_Block_Groups.zip,l,CA
